Date,HPI
01/05/1998,217445.1
01/06/1998,219273.94
01/07/1998,219511.04
01/08/1998,220026.31
01/09/1998,220609.91
01/10/1998,220505.76
01/11/1998,221460.41
01/12/1998,221977.62
01/01/1999,222234.17
01/02/1999,222794.59
01/03/1999,223999.92
01/04/1999,223975.45
01/05/1999,226150.63
01/06/1999,227949.01
01/07/1999,228443.55
01/08/1999,229072.14
01/09/1999,228133.25
01/10/1999,228606.39
01/11/1999,228842.66
01/12/1999,229333.16
01/01/2000,230879.85
01/02/2000,229134.56
01/03/2000,229871.27
01/04/2000,231897.35
01/05/2000,233469.31
01/06/2000,234628.16
01/07/2000,235254.64
01/08/2000,235962.99
01/09/2000,235723.65
01/10/2000,236069.78
01/11/2000,236702.65
01/12/2000,237542.15
01/01/2001,237057.8
01/02/2001,237652.14
01/03/2001,239245.15
01/04/2001,240358.15
01/05/2001,241262.43
01/06/2001,242838.81
01/07/2001,244902.05
01/08/2001,245832.2
01/09/2001,245559.39
01/10/2001,247349.65
01/11/2001,247703.76
01/12/2001,249554.96
01/01/2002,249794.98
01/02/2002,250220.42
01/03/2002,251288.65
01/04/2002,251965.03
01/05/2002,254703.95
01/06/2002,257046.6
01/07/2002,258452.34
01/08/2002,259027.7
01/09/2002,259714.99
01/10/2002,260447.1
01/11/2002,261043.74
01/12/2002,262675.24
01/01/2003,262349.03
01/02/2003,262053.21
01/03/2003,262280.92
01/04/2003,265329.7
01/05/2003,268369.62
01/06/2003,270262.34
01/07/2003,272042.6
01/08/2003,272768.93
01/09/2003,273575.96
01/10/2003,274733.38
01/11/2003,276665.92
01/12/2003,278263.57
01/01/2004,277756.68
01/02/2004,278588.71
01/03/2004,279873.14
01/04/2004,282295.89
01/05/2004,284642.89
01/06/2004,287599.06
01/07/2004,290429.26
01/08/2004,292228.79
01/09/2004,293202.18
01/10/2004,293008.31
01/11/2004,294419.77
01/12/2004,296953.73
01/01/2005,297330.97
01/02/2005,298208.14
01/03/2005,300017.4
01/04/2005,301874.92
01/05/2005,306197.65
01/06/2005,309742.97
01/07/2005,311346.45
01/08/2005,311833.79
01/09/2005,310002.24
01/10/2005,310208.57
01/11/2005,313498.29
01/12/2005,315351.25
01/01/2006,313712.29
01/02/2006,314398.75
01/03/2006,315061.35
01/04/2006,314409.29
01/05/2006,315344.77
01/06/2006,315831.43
01/07/2006,314550.53
01/08/2006,314589.61
01/09/2006,315031.75
01/10/2006,316184.73
01/11/2006,316217.54
01/12/2006,314407.38
01/01/2007,313267.74
01/02/2007,312537.77
01/03/2007,312115.7
01/04/2007,311740.16
01/05/2007,310216.37
01/06/2007,309548.03
01/07/2007,307904.89
01/08/2007,306772.92
01/09/2007,303595.09
01/10/2007,299636.36
01/11/2007,294521.84
01/12/2007,291643.07
01/01/2008,286518.98
01/02/2008,284667.36
01/03/2008,280794.57
01/04/2008,277631.04
01/05/2008,274182.61
01/06/2008,270770.76
01/07/2008,266755.21
01/08/2008,264666.95
01/09/2008,261598.6
01/10/2008,261429.01
01/11/2008,260691.33
01/12/2008,260978.42
01/01/2009,260723.77
01/02/2009,260372.68
01/03/2009,257653.39
01/04/2009,257171.98
01/05/2009,258281.4
01/06/2009,257163.87
01/07/2009,256633.77
01/08/2009,255215.39
01/09/2009,253566.46
01/10/2009,253164.47
01/11/2009,252774.89
01/12/2009,248910.44
01/01/2010,246827.83
01/02/2010,246149.05
01/03/2010,245848.74
01/04/2010,247733.59
01/05/2010,249759.69
01/06/2010,248710.84
01/07/2010,247091.52
01/08/2010,245746.83
01/09/2010,242176.68
01/10/2010,241446
01/11/2010,239679.22
01/12/2010,235566.63
01/01/2011,231722.53
01/02/2011,228823.27
01/03/2011,225225.07
01/04/2011,226214.13
01/05/2011,226855.62
01/06/2011,229078.76
01/07/2011,229316.96
01/08/2011,227165.95
01/09/2011,227085
01/10/2011,225417.12
01/11/2011,225796.17
01/12/2011,225231.85
01/01/2012,221934.36
01/02/2012,221536.63
01/03/2012,223242.15
01/04/2012,225625.61
01/05/2012,229581.84
01/06/2012,232275.86
01/07/2012,233065.06
01/08/2012,232331.22
01/09/2012,231053.09
01/10/2012,231142.98
01/11/2012,232503.03
01/12/2012,232448.98
01/01/2013,232010.81
01/02/2013,231670.95
01/03/2013,235261.37
01/04/2013,238664.58
01/05/2013,242529.62
01/06/2013,245021.07
01/07/2013,246204.09
01/08/2013,245299.72
01/09/2013,245051.24
01/10/2013,244952.63
01/11/2013,244745.57
01/12/2013,244400.14
01/01/2014,243092.7
01/02/2014,243433.76
01/03/2014,244755.26
01/04/2014,246664.65
01/05/2014,248618.02
01/06/2014,250974.52
01/07/2014,251932.74
01/08/2014,251863.61
01/09/2014,250645.75
01/10/2014,251277.03
01/11/2014,252906.33
01/12/2014,254360.64
01/01/2015,254442.72
01/02/2015,255658.78
01/03/2015,257509.72
01/04/2015,259634.17
01/05/2015,262124
01/06/2015,263678.2
01/07/2015,264626.66
01/08/2015,264201.69
01/09/2015,264505.96
01/10/2015,264660.87
01/11/2015,265604.47
01/12/2015,266081.92
01/01/2016,265522.63
01/02/2016,266060.59
01/03/2016,269569.87
01/04/2016,271367.38
01/05/2016,273579.9
01/06/2016,275400.76
01/07/2016,277030.09
01/08/2016,276657.71
01/09/2016,276135.7
01/10/2016,275780.08
01/11/2016,276516.37
01/12/2016,276685.28
01/01/2017,274015.46
01/02/2017,275539.89
01/03/2017,279519.41
01/04/2017,282557.85
01/05/2017,285631.49
01/06/2017,287417.89
01/07/2017,288907.13
01/08/2017,288798.21
01/09/2017,286988.78
01/10/2017,286951.01
01/11/2017,287936.48
01/12/2017,287690.15
01/01/2018,287245.36
01/02/2018,289172.62
01/03/2018,291862.4
01/04/2018,293240.43
01/05/2018,295454.19
01/06/2018,296927.01
01/07/2018,297833.23
01/08/2018,298096.86
01/09/2018,296938.97
01/10/2018,296088.84
01/11/2018,297851.88
01/12/2018,297775.19
01/01/2019,298192.41
01/02/2019,298851.65
01/03/2019,300501.02
01/04/2019,302349.09
01/05/2019,304841.39
01/06/2019,306325.43
01/07/2019,306790.77
01/08/2019,306817.41
01/09/2019,307342.2
01/10/2019,306740.71
01/11/2019,307359.04
01/12/2019,308370.02
01/01/2020,308381
01/02/2020,311114.57
01/03/2020,314781.85
01/04/2020,319521.16
01/05/2020,320392.01
01/06/2020,322557.2
01/07/2020,324844.99
01/08/2020,328084.17
01/09/2020,331761.9
01/10/2020,335319.34
01/11/2020,338007.31
01/12/2020,340039
01/01/2021,341721.86
01/02/2021,344948.1
01/03/2021,350571.28
01/04/2021,355771.8
01/05/2021,360767.29
01/06/2021,364392.68
01/07/2021,367715.63
01/08/2021,369652.53
01/09/2021,371266.35
01/10/2021,371335.93
01/11/2021,372746.36
01/12/2021,374636.98
01/01/2022,376320.18
01/02/2022,381733.17
01/03/2022,384753.18
01/04/2022,391035.57
01/05/2022,393238.47
01/06/2022,388505.72
01/07/2022,385822.99
